class,support,f1
sicherlich,50,0.173913
sicht,50,0.215054
sieht,50,0.028986
sind,50,0.000000
sinne,50,0.403670
situation,50,0.576577
sogar,50,0.216216
solche,50,0.151899
solchen,50,0.148148
soll,50,0.111111
sollen,50,0.066667
sollte,50,0.111111
sollten,50,0.219512
sondern,50,0.176471
sonst,50,0.242424
sorgen,50,0.269231
sowie,50,0.270270
sozialen,50,0.440678
spdfraktion,50,0.373626
sprechen,50,0.373626
spricht,50,0.504673
staatsminister,50,0.390244
stadt,50,0.461538
statt,50,0.183908
stehen,50,0.168421
steht,50,0.155556
stelle,50,0.246575
stellen,50,0.224719
stellt,50,0.035714
stimmen,50,0.451613
stunde,50,0.330709
tagesordnungspunkt,50,0.279720
tatsächlich,50,0.295652
teil,50,0.081633
thema,50,0.285714
themen,50,0.157895
tragen,50,0.111111
trotzdem,50,0.460000
umsetzung,50,0.722222
union,50,0.422018
unser,50,0.166667
unsere,50,0.162162
unserem,50,0.441176
unseren,50,0.140351
unserer,50,0.260870
unseres,50,0.252427
unter,50,0.027027
unternehmen,50,0.460526
unterstützen,50,0.562500
unterstützung,50,0.705882
verantwortung,50,0.672727
verehrten,50,0.513274
verfahren,50,0.518519
verfassung,50,0.620690
verfügung,50,0.653846
vergangenen,50,0.444444
viel,50,0.117647
viele,50,0.163265
vielen,50,0.252427
vielleicht,50,0.108108
vielmehr,50,0.189189
vier,50,0.156250
vorschlag,50,0.518519
völlig,50,0.441860
waren,50,0.097087
warum,50,0.590476
weil,50,0.128000
weise,50,0.235294
weit,50,0.271845
weiter,50,0.194444
weitere,50,0.246914
weiteren,50,0.373626
weiterhin,50,0.341880
weiß,50,0.283333
welche,50,0.227273
welt,50,0.148148
wenig,50,0.236220
weniger,50,0.320513
wenn,50,0.105960
werde,50,0.000000
werden,50,0.213333
wichtig,50,0.216216
wichtige,50,0.396947
wieder,50,0.089552
will,50,0.095890
wird,50,0.000000
wirklich,50,0.186667
wirtschaft,50,0.627907
wissen,50,0.194444
wochen,50,0.448598
wohl,50,0.225000
wohnungen,50,0.519084
wollen,50,0.270833
worden,50,0.133333
wort,50,0.137255
wurde,50,0.060606
wurden,50,0.139535
während,50,0.172414
wäre,50,0.118644
würde,50,0.121739
würden,50,0.133333
zahl,50,0.105263
zahlen,50,0.070796
zehn,50,0.200000
zeigen,50,0.175824
zeigt,50,0.117647
zeit,50,0.075472
ziel,50,0.000000
zukunft,50,0.525253
zumindest,50,0.322148
zunächst,50,0.275000
zusammen,50,0.431034
zusammenhang,50,0.619048
zwar,50,0.222222
zwei,50,0.322581
zweite,50,0.256410
zweiten,50,0.354610
zwischen,50,0.363636
änderung,50,0.196078
änderungsantrag,50,0.504202
öffentlichen,50,0.491228
über,50,0.256000
überhaupt,50,0.652174
übrigens,50,0.440000
